feature,importance,importance_percentage,cumulative_importance,cumulative_percentage
vehicle_gps_latitude,0.12379461605909885,12.379461605909885,0.12379461605909885,12.379461605909885
driver_behavior_score,0.09735655080125254,9.735655080125253,0.22115116686035138,22.115116686035137
order_fulfillment_status,0.08670544464418677,8.670544464418677,0.30785661150453814,30.785661150453812
warehouse_inventory_level,0.0838482937484866,8.38482937484866,0.3917049052530247,39.17049052530247
cargo_condition_status,0.07972527818354855,7.9725278183548545,0.4714301834365733,47.14301834365733
handling_equipment_availability,0.07633380079783049,7.633380079783049,0.5477639842344038,54.77639842344038
shipping_costs,0.07123089032971812,7.123089032971812,0.6189948745641218,61.89948745641218
fuel_consumption_rate,0.0657221150667915,6.57221150667915,0.6847169896309133,68.47169896309133
historical_demand,0.0630482287535111,6.3048228753511095,0.7477652183844244,74.77652183844245
port_congestion_level,0.049616286334402813,4.961628633440282,0.7973815047188273,79.73815047188273
delivery_time_deviation,0.040795419477710634,4.079541947771063,0.8381769241965379,83.8176924196538
iot_temperature,0.03661068985066034,3.6610689850660343,0.8747876140471982,87.47876140471982
eta_variation_hours,0.032488222392180924,3.2488222392180925,0.9072758364393791,90.72758364393792
vehicle_gps_longitude,0.030436978963796105,3.0436978963796104,0.9377128154031753,93.77128154031753
month,0.026304669302376977,2.6304669302376977,0.9640174847055523,96.40174847055522
lead_time_days,0.021485004365279923,2.1485004365279923,0.9855024890708322,98.55024890708322
fatigue_monitoring_score,0.014497510929167639,1.4497510929167639,0.9999999999999998,99.99999999999997
weather_condition_severity,0.0,0.0,0.9999999999999998,99.99999999999997
quarter,0.0,0.0,0.9999999999999998,99.99999999999997
day_of_week,0.0,0.0,0.9999999999999998,99.99999999999997
hour,0.0,0.0,0.9999999999999998,99.99999999999997
customs_clearance_time,0.0,0.0,0.9999999999999998,99.99999999999997
delay_probability,0.0,0.0,0.9999999999999998,99.99999999999997
route_risk_level,0.0,0.0,0.9999999999999998,99.99999999999997
traffic_congestion_level,0.0,0.0,0.9999999999999998,99.99999999999997
supplier_reliability_score,0.0,0.0,0.9999999999999998,99.99999999999997
loading_unloading_time,0.0,0.0,0.9999999999999998,99.99999999999997
is_weekend,0.0,0.0,0.9999999999999998,99.99999999999997
